Voxel_Number,X,Y,Z
1514,10,21,18
1515,10,21,19
1516,10,21,20
1517,10,21,21
1518,10,21,22
1519,10,21,23
1520,10,21,24
1521,10,21,25
1522,10,21,26
1523,10,21,27
1524,10,21,28
1525,10,21,29
1526,10,21,30
1527,10,21,31
1528,10,21,32
1529,10,21,33
1530,10,21,34
1531,10,22,17
1532,10,22,18
1533,10,22,19
1534,10,22,20
1535,10,22,21
1536,10,22,22
1537,10,22,23
1538,10,22,24
1539,10,22,25
1540,10,22,26
1541,10,22,27
1542,10,22,28
1543,10,22,29
1544,10,22,30
1545,10,22,31
1546,10,22,32
1547,10,22,33
1548,10,22,34
1549,10,22,35
1550,10,22,36
1551,10,22,37
1552,10,23,17
1553,10,23,18
1554,10,23,19
1555,10,23,20
1556,10,23,21
1557,10,23,22
1558,10,23,23
1559,10,23,24
1560,10,23,25
1561,10,23,26
1562,10,23,27
1563,10,23,28
1564,10,23,29
1565,10,23,30
1566,10,23,31
1567,10,23,32
1568,10,23,33
1569,10,23,34
1570,10,23,35
1571,10,23,36
1572,10,23,37
1573,10,23,38
1574,10,23,39
1575,10,24,15
1576,10,24,16
1577,10,24,17
1578,10,24,18
1579,10,24,19
1580,10,24,20
1581,10,24,21
1582,10,24,22
1583,10,24,23
1584,10,24,24
1585,10,24,25
1586,10,24,26
1587,10,24,27
1588,10,24,28
1589,10,24,29
1590,10,24,30
1591,10,24,31
1592,10,24,32
1593,10,24,33
1594,10,24,34
1595,10,24,35
1596,10,24,36
1597,10,24,37
1598,10,24,38
1599,10,24,39
1600,10,24,40
1601,10,24,41
1602,10,25,15
1603,10,25,16
1604,10,25,17
1605,10,25,18
1606,10,25,19
1607,10,25,20
1608,10,25,21
1609,10,25,22
1610,10,25,23
1611,10,25,24
1612,10,25,25
1613,10,25,26
1614,10,25,27
1615,10,25,28
1616,10,25,29
1617,10,25,30
1618,10,25,31
1619,10,25,32
1620,10,25,33
1621,10,25,34
1622,10,25,35
1623,10,25,36
1624,10,25,37
1625,10,25,38
1626,10,25,39
1627,10,25,40
1628,10,25,41
1629,10,26,15
1630,10,26,16
1631,10,26,17
1632,10,26,18
1633,10,26,19
1634,10,26,20
1635,10,26,21
1636,10,26,22
1637,10,26,23
1638,10,26,24
1639,10,26,25
1640,10,26,26
1641,10,26,27
1642,10,26,28
1643,10,26,29
1644,10,26,30
1645,10,26,31
1646,10,26,32
1647,10,26,33
1648,10,26,34
1649,10,26,35
1650,10,26,36
1651,10,26,37
1652,10,26,38
1653,10,26,39
1654,10,26,40
1655,10,26,41
1656,10,26,42
1657,10,27,15
